x,y,values
0.200534,0.942779,-1.039475
0.701411,0.188754,5.33049
0.065248,0.049485,-1.641849
0.986526,0.104402,1.799233
0.700435,0.724758,-0.744791
0.322545,0.583276,-3.703456
0.74342,0.151415,2.973047
0.055558,0.327245,2.489766
0.044129,0.829419,0.645739
0.047105,0.147387,0.341386
0.654124,0.386587,0.829667
0.390539,0.918517,-0.6892
0.355276,0.411612,-1.069706
0.788525,0.83769,-1.70222
0.174853,0.208698,2.094466
0.148302,0.059251,0.372326
0.146761,0.383352,1.946623
0.05182,0.870253,-0.167121
0.373495,0.389822,0.402585
0.443229,0.834211,-1.639121
0.509316,0.478889,2.326576
0.094865,0.217594,2.034179
0.151186,0.890715,0.958661
0.410849,0.999283,0.248736
0.81532,0.864851,-1.758441
0.664302,0.479759,0.709374
0.910719,0.428687,2.33383
0.722377,0.644785,-0.333608
0.805524,0.204639,3.626078
0.965164,0.864607,-0.127947
0.76257,0.434318,0.787423
0.067781,0.169574,0.855292
0.666102,0.103624,2.017307
0.793225,0.452857,1.553152
0.602182,0.266743,5.271887
0.414801,0.081331,18.685161
0.197772,0.160372,2.170247
0.157443,0.987884,-1.030293
0.285435,0.411246,1.255562
0.219135,0.999664,-2.148415
0.491829,0.814664,0.349742
0.186419,0.793668,1.560216
0.630808,0.417121,0.700052
0.840299,0.754147,-4.97304
0.4878,0.573541,-1.084696
0.800366,0.499641,0.603998
0.989334,0.783368,-0.694602
0.616785,0.578714,-0.345682
0.381323,0.194415,2.266713
0.215564,0.465614,1.495191
0.75465,0.491295,1.147151
0.014496,0.669474,1.030004
0.250431,0.492851,0.500628
0.164599,0.36643,2.414787
0.690654,0.103883,2.115594
0.175845,0.445365,1.76749
0.458457,0.549432,-0.630407
0.660594,0.530556,0.885718
0.834241,0.993896,0.273727
0.7579,0.768566,-1.30854
0.393317,0.89337,-0.834286
0.931518,0.27068,3.781869
0.827176,0.932692,-0.067824
0.073686,0.070314,-1.793099
0.665812,0.971099,2.845357
0.815152,0.20412,2.932926
0.358877,0.153384,4.724123
0.906355,0.884764,0.679827
0.014633,0.198657,2.658289
0.762631,0.093538,1.33949
0.156756,0.878508,0.490397
0.618524,0.513634,-0.083296
0.947112,0.822538,0.689644
0.307759,0.162264,3.050607
0.250309,0.848524,0.677217
0.172595,0.709117,-0.666841
0.358892,0.608148,-2.067986
0.034897,0.892714,-0.094086
0.861753,0.049744,1.462659
0.362188,0.783169,1.492413
0.96643,0.601694,1.503092
0.647883,0.658152,-0.086714
0.289357,0.464515,-0.313389
0.298177,0.069718,2.762333
0.870283,0.830838,-2.065816
0.111604,0.554253,2.459566
0.514122,0.053376,4.568533
0.085527,0.644236,1.582615
0.658534,0.09073,1.917691
0.414649,0.404181,0.534672
0.851728,0.391333,3.324704
0.001862,0.119356,2.062389
0.311849,0.796475,1.33222
0.840833,0.322637,5.862908
0.206744,0.048737,0.058713
0.456199,0.734524,-1.585349
0.64126,0.716167,-2.160124
0.457816,0.199451,7.136383
0.382696,0.632792,-0.280552
0.787304,0.632151,-1.70478
0.858442,0.251392,3.103033
0.542199,0.139178,3.958114
0.320607,0.683192,0.644144
0.559884,0.383291,3.173584
0.567315,0.266407,11.832991
0.643137,0.155444,3.007597
0.909545,0.855497,0.447403
0.917372,0.804868,-0.333658
0.902205,0.788113,-0.836974
0.540703,0.162356,4.713285
0.169284,0.850629,1.258706
0.653132,0.655253,0.092122
0.474205,0.021561,3.881805
0.575219,0.779614,0.50821
0.879805,0.732189,-5.588916
0.03267,0.177844,1.595786
0.575494,0.33756,4.109553
0.465721,0.213352,5.921917
0.26923,0.564187,-0.464397
0.078264,0.910323,1.327106
0.821866,0.23859,3.446953
0.117708,0.216602,1.87831
0.151476,0.893477,0.983292
0.144274,0.157443,-0.193731
0.901747,0.472236,1.369141
0.368719,0.793835,1.019227
0.146395,0.903151,0.87635
0.672206,0.166354,3.519268
0.802609,0.551873,1.392232
0.546548,0.131304,4.473801
0.201282,0.266667,3.375395
0.533898,0.068116,2.914083
0.269734,0.531609,-0.441359
0.41445,0.978271,0.27163
0.018387,0.976608,5.670862
0.822568,0.806638,-2.503463
0.08011,0.19028,2.279653
0.102327,0.774868,-0.287347
0.628138,0.860533,1.925158
0.939284,0.985168,-3.062548
0.507362,0.966155,1.564901
0.240543,0.643107,-2.502292
0.606394,0.740566,-1.089692
0.937514,0.976761,-3.098534
0.62681,0.497246,0.059791
0.051514,0.965225,3.056559
